imdb_code,name,year,world_collection,int_collection,dom_collection,url
tt1083452,Eddie the Eagle,2015,46152800,30363411.0,15789389.0,https://www.boxofficemojo.com/title/tt1083452/?ref_=bo_gr_ti
tt1540011,Blair Witch,2016,45173154,24396093.0,20777061.0,https://www.boxofficemojo.com/title/tt1540011/?ref_=bo_gr_ti
tt5471154,Boonie Bears: The Big Top Secret,2016,45150390,45150390.0,,https://www.boxofficemojo.com/title/tt5471154/?ref_=bo_gr_ti
tt4513674,Café Society,2016,43763247,32660042.0,11103205.0,https://www.boxofficemojo.com/title/tt4513674/?ref_=bo_gr_ti
tt5481184,League of Gods,2016,43498766,43317133.0,181633.0,https://www.boxofficemojo.com/title/tt5481184/?ref_=bo_gr_ti
tt4649416,Almost Christmas,2016,42580920,422140.0,42158780.0,https://www.boxofficemojo.com/title/tt4649416/?ref_=bo_gr_ti
tt4263482,The Witch,2015,40423945,15285240.0,25138705.0,https://www.boxofficemojo.com/title/tt4263482/?ref_=bo_gr_ti
tt4731008,The Wild Life,2016,40075446,32069860.0,8005586.0,https://www.boxofficemojo.com/title/tt4731008/?ref_=bo_gr_ti
tt6091936,Love O2O,2016,39969537,39969537.0,,https://www.boxofficemojo.com/title/tt6091936/?ref_=bo_gr_ti
tt3387542,The Forest,2016,39712000,13117739.0,26594261.0,https://www.boxofficemojo.com/title/tt3387542/?ref_=bo_gr_ti
tt2112096,Absolutely Fabulous: The Movie,2016,39219109,34446954.0,4772155.0,https://www.boxofficemojo.com/title/tt2112096/?ref_=bo_gr_ti
tt3212812,My Mom Is a Character 2,2016,39195565,39195565.0,,https://www.boxofficemojo.com/title/tt3212812/?ref_=bo_gr_ti
tt5284492,Masterpiece Mystery: Sherlock: The Abominable Bride,2016,39139204,39139204.0,,https://www.boxofficemojo.com/title/tt5284492/?ref_=bo_gr_ti
tt2652118,"Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,38659039,38659039.0,,https://www.boxofficemojo.com/title/tt2652118/?ref_=bo_gr_ti
tt2582782,Hell or High Water,2016,37879877,10872033.0,27007844.0,https://www.boxofficemojo.com/title/tt2582782/?ref_=bo_gr_ti
tt5425144,Mission Milano,2016,37749848,37749848.0,,https://www.boxofficemojo.com/title/tt5425144/?ref_=bo_gr_ti
tt4016934,The Handmaiden,2016,37767206,35760418.0,2006788.0,https://www.boxofficemojo.com/title/tt4016934/?ref_=bo_gr_ti
tt3774114,Snowden,2016,37357216,15769697.0,21587519.0,https://www.boxofficemojo.com/title/tt3774114/?ref_=bo_gr_ti
tt4122254,Nobunaga Concerto: The Movie,2016,36187594,36187594.0,,https://www.boxofficemojo.com/title/tt4122254/?ref_=bo_gr_ti
tt2057392,Eye in the Sky,2015,35259653,16555058.0,18704595.0,https://www.boxofficemojo.com/title/tt2057392/?ref_=bo_gr_ti
tt4926538,Les Tuche 2: The American Dream,2016,35210425,35210425.0,,https://www.boxofficemojo.com/title/tt4926538/?ref_=bo_gr_ti
tt5431016,Os Dez Mandamentos - O Filme,2016,31998251,31998251.0,,https://www.boxofficemojo.com/title/tt5431016/?ref_=bo_gr_ti
tt5243900,Bounty Hunters,2016,31918573,31918573.0,,https://www.boxofficemojo.com/title/tt5243900/?ref_=bo_gr_ti
tt4559006,Ae Dil Hai Mushkil,2016,31668920,27403937.0,4264983.0,https://www.boxofficemojo.com/title/tt4559006/?ref_=bo_gr_ti
tt4641264,Assassination Classroom: The Graduation,2016,31383050,31383050.0,,https://www.boxofficemojo.com/title/tt4641264/?ref_=bo_gr_ti
tt4901306,Perfect Strangers,2016,31254929,31254929.0,,https://www.boxofficemojo.com/title/tt4901306/?ref_=bo_gr_ti
tt2513074,Billy Lynn's Long Halftime Walk,2016,30930984,29192507.0,1738477.0,https://www.boxofficemojo.com/title/tt2513074/?ref_=bo_gr_ti
tt6423418,Pandora,2016,30896701,30896701.0,,https://www.boxofficemojo.com/title/tt6423418/?ref_=bo_gr_ti
tt1594972,Norm of the North,2015,30734502,13672003.0,17062499.0,https://www.boxofficemojo.com/title/tt1594972/?ref_=bo_gr_ti
tt1389139,When the Bough Breaks,2016,30658387,910784.0,29747603.0,https://www.boxofficemojo.com/title/tt1389139/?ref_=bo_gr_ti
tt5998744,S Storm,2016,30381402,30381402.0,,https://www.boxofficemojo.com/title/tt5998744/?ref_=bo_gr_ti
tt4550098,Nocturnal Animals,2016,30311857,19648500.0,10663357.0,https://www.boxofficemojo.com/title/tt4550098/?ref_=bo_gr_ti
tt5323662,A Silent Voice: The Movie,2016,30490447,29846056.0,644391.0,https://www.boxofficemojo.com/title/tt5323662/?ref_=bo_gr_ti
